OTUid	Kingdom	K_identity	Phylum	P_identity	Class	C_identity	Order	O_identity	Family	F_identity	Genus	G_identity	Species	S_identity
Zotu493	Bacteria	1	Firmicutes	0.41	Bacilli	0.4	Entomoplasmatales	0.3	Ca_Spiroplasma	0.3	AsCoM_g_484	0.3	AsCoM_s_484	0.19
Zotu545	Bacteria	1	Proteobacteria	0.23	Bacilli	0.22	Entomoplasmatales	0.13	Ca_Spiroplasma	0.13	AsCoM_g_484	0.13	AsCoM_s_484	0.1
Zotu586	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	AsCoM_f_2	1	AsCoM_g_50	0.99	AsCoM_s_50	0.5
Zotu855	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	AsCoM_f_2	1	AsCoM_g_50	1	AsCoM_s_50	0.89
Zotu471	Bacteria	1	Gemmatimonadota	1	Gemmatimonadetes	1	Gemmatimonadales	1	Gemmatimonadaceae	1	AsCoM_g_584	1	AsCoM_s_1068	0.99
Zotu443	Bacteria	1	Bdellovibrionota	1	Oligoflexia	1	Bdellovibrionales	1	AsCoM_f_6762	1	AsCoM_g_6762	1	AsCoM_s_6762	0.83
Zotu355	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	1	AsCoM_g_686	1	AsCoM_s_686	1
Zotu58	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.36	AsCoM_g_686	0.28	AsCoM_s_2382	0.17
Zotu593	Bacteria	1	AsCoM_p_3911	1	AsCoM_c_3911	1	AsCoM_o_6973	0.78	AsCoM_f_6973	0.78	AsCoM_g_6973	0.78	AsCoM_s_6973	0.78
Zotu166	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	1	AsCoM_g_703	1	AsCoM_s_703	1
Zotu520	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.97	Xanthobacteraceae	0.97	AsCoM_g_703	0.89	AsCoM_s_703	0.89
Zotu596	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.97	Xanthobacteraceae	0.97	AsCoM_g_703	0.89	AsCoM_s_703	0.89
Zotu746	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	0.94	AsCoM_g_703	0.66	AsCoM_s_703	0.39
